Engine speed,Engine load,Railpressure,Air supply,Crank angle,Intake pressure,Back pressure,Intake temperature,NOx,PM 1,CO2,PM 2,Pressure cylinder
700.0,7.33,500.9,78.3753,1.91,967.5,1027.3,65.5,17.977837673560735,0.15113873220843352,2.8916283610802,1.6903354828725246,44.94630187431548
700.0,25.85,577.6,118.0673,0.94,1017.6,1063.8,53.4,30.613787512695183,0.4214317582416869,10.976311757652471,4.617809260605824,55.88577776855951
700.0,46.67,615.8,144.3557,2.86,1086.7,1156.2,47.9,109.19980608569212,0.7673947376959026,18.844495547498298,5.139176936995938,73.029760855238
700.0,69.55,778.3,174.1779,2.22,1171.1,1215.1,42.7,186.40672910363406,0.6585046764660393,27.739764572815595,4.104144058530217,86.3221033029667
700.0,94.33,900.1,213.3148,-1.72,1313.3,1305.9,38.3,315.4301798554923,0.7732893509162588,39.26986461866726,4.29842631286772,93.84214145031837
800.0,13.0,630.6,103.4821,2.63,1001.0,1064.1,60.5,21.485758037265057,0.28846689152194394,5.767598431463984,3.0526621591386602,49.44455918846896
800.0,32.48,793.4,135.7269,1.7,1011.6,1045.6,53.2,42.51801814065062,0.6307925224724509,15.197720245550155,4.4738964178784455,59.28122459229774
800.0,54.0,929.1,170.9657,1.42,1080.8,1096.9,45.9,149.96248167000167,0.8042374633531127,24.980771175873272,6.557321322829332,73.68607426866562
800.0,78.21,1069.1,214.9532,-2.03,1254.1,1250.3,41.8,232.42147236193236,0.9826768886856067,35.026650907816176,6.649109842140032,81.97041009553783
800.0,101.8,1081.4,264.3645,-3.07,1462.9,1408.5,39.3,398.97639090449724,0.7144336268283003,49.8233697865045,2.9955145094585727,93.58462831344472
900.0,7.36,637.4,104.7771,3.4,984.7,1063.6,61.7,22.095897375633463,0.19848538410046962,3.6818998285970466,1.9589224855357135,45.771071469239516
900.0,25.96,895.9,128.6418,2.47,974.8,1029.3,58.6,35.588933644747854,0.4711302737029137,13.47677705952958,4.474883116814149,57.435788926912004
900.0,47.27,1135.9,170.8247,0.58,1017.3,1034.4,48.6,74.21038950570717,1.0662219148675935,23.70864771465174,6.574482315854537,64.50948256693992
900.0,70.32,1275.7,224.127,-1.8,1198.5,1177.2,43.7,208.24397971858298,1.3068110022348907,37.12899246435832,9.381252527010819,74.56039921055896
900.0,94.24,1288.6,282.0735,-4.54,1476.5,1412.7,42.8,241.2741276177169,1.1346035224751538,48.84062745437308,5.10075377895612,83.87264136260535
900.0,115.59,1197.3,339.4152,-2.87,1682.9,1553.9,40.3,363.1309659071255,0.8036580364990177,60.53876085402666,2.6892862603696157,101.50615413268847
900.0,130.85,1093.3,377.0602,-2.19,1809.5,1606.5,39.2,703.8246607171793,0.6007905860854926,67.05085198832482,1.803961669844515,108.0904928383574
1000.0,19.62,916.6,126.0233,3.75,1001.3,1083.3,64.0,25.009855667269665,0.4894773077505346,11.212635127049033,4.151939957673627,54.04110349853178
1000.0,40.26,1272.1,162.3273,0.67,985.9,1019.1,55.0,56.18858982900072,0.7254520178053756,22.092426893069366,4.560939289205964,60.37245317807586
1000.0,63.6,1468.8,227.945,-2.23,1130.3,1115.7,45.5,177.1848453200707,1.5166428471330633,36.639619613118676,6.612869214216675,70.06265234980638
1000.0,87.22,1500.3,294.3291,-5.63,1456.2,1385.2,46.5,200.07116340674446,1.6233723013845072,50.056312391362134,6.510783432691256,74.61312365448464
